,location,date,job,rating,review_title,review_content
2716," Toronto,ON ", 9 August 2012,Secretary,5.0,Great place to work,"I loved every bit of this job, the environment, my co-workers everything and everyone was very professional and friendly. On a typical day I would direct all incoming parcels, manage switchboard, and provide information for new and regular guests. I learned the power of organization and memory, I had to be on top of everything at all times. Management was great they answered all the questions I had as well as teach me everything I needed to know. Being on top of everything was quite hard as there were a lot of things to remember and do. The most enjoyable part was meeting new people coming in and out of the building, I love to help people so it was a bonus being able to get everyone around physically and through phone calls."
2717," Rockland, ON ", 6 August 2012,Preposee service a la clientele,4.0,Good collaboration between employees.,Serve the clients and offer the bank products.Learned a lot about the bank system and all the products.My manager was an awesome lady.My co-workers were friendly and helpful.The most enjoyable part of the job is to meet new people.
2718," Ottawa, ON ", 6 August 2012,Security team member,5.0,Great team.,Awesome place to work! Meaningful interaction with guests.
2719, Canada , 6 August 2012,Private contractor engineer,1.0,Not enough,Short periodNot enough info gatheredNot enough time to notice ... too busy gathering enough info to deliver on mandate
2720, Montreal , 2 August 2012,Accounting Officer (Permanent),4.0,Good place to work,"• Reconciling Funds Transferred• Maintaining General Ledger up to date• Closing Accounts upon Customer request• Performing corrections on Clients Accounts, service fees• Conformity and legitimacy of transactions, complying with the Anti Money Laundering policy of the Bank.• Maintaining profile of Clients up to date• Preparing Reports for items such as Bank Drafts, Money Orders, and Certified Cheques not cashed during the last 9 years and submitted to Bank of Canada.• Reconciling Wire Transfers through reports given by New York Agency• Giving support to Branches and Clients"
2721," Saint John, NB ", 23 July 2012,Customer Service Representative,4.0,Love the customers,"Every day is different for me. I love seeing and chatting with the regular and non regular customers. I get to learn about them and upcoming vacations and also where they've been in life. My coworkers are fantastic people. We work great as a team, very productive and have fun while doing so. I've become close with my work family. We've recently underwent new management. So far so good. She seems very on the ball, made some great needed changes and keeps us upbeat and positive. The hardest part of the job is salary and advancement. No room as spots are limited. By far my most enjoyable of the day is my customers as well as my coworkers."
2722," Toronto, ON ", 18 July 2012,Associate BA,3.0,Fun work environment,"Close with senior staff, work can be tough during fiscal year end"
2723," Toronto, ON ", 18 July 2012,Manager,2.0,"terrible pay, good environment","Terrible pay, good environment.Scotiabank does a good job of making you feel welcome and a part of a team. I have been in 4 different departments over the last 2 years as a part of a management program, but can honestly tell you it is fraught with politics and the pay is very very low, regardless of how hard you work or the qualifications you have."
2724," Cambridge, ON ", 14 July 2012,Bank Teller,5.0,Productive and a fun place to work,"I am responsible for handling cash transaction, cashing and making deposits. i do report to a supervisor who is very kind and patient. at any given time, there are three/four tellers available. the hardest part of the job is retaining all the processes and guidelines, however once used to them, it becomes second nature. the most enjoyable part of this job is the interaction with customers who belong to all different walks of life."
2725,Sales Officer (Former Employee) ," Toronto, Ontario ",Customer Service Support-Sales Officer,5.0,Productive and very busy and fast-paced invironment to work with,"The typical day at work, dealing with customers and team members everyday is challenging, fun and productive. Because its like one family.I learned to be a strong person in the sense of self confident, self esteem, self control, flexible and adaptable in any changes with positive attitude. Also learned to be patient and abilities to communicate strongly and effectively to others. This personal characteristics developed with in me is my greatest strength that I used in my daily work and life.The management had good leadership to staffs. In my experienced they are approachable and helpful.My co-workers we treated each other as one family with excellent team work. Helping each other if one needs help.The hardest part of the job if the sales goal is not met. In my experienced if that case happen, I go into the roots of the problem then I work hard and more hours to excel my sales goal.The most enjoyable part of the job is how I developed customers trust and relationship then brought financial businesses of the unhappy customers back to my branch. I was recognized by my branch managers and regional director as best customer service employee."
